id,audio_path,image_path,json_path,asr_text,real_text,split
3,../../datas/origin_datas/audio_part/3.mp3,../../datas/origin_datas/images_part/3.jpg,../../datas/origin_datas/new_data_by_keys/3.json,波斯单顿朝牌双肩背包男旅行大容量防水电脑数包女2025新款大学生。,波斯丹顿潮牌双肩背包男旅行大容量防水电脑书包女2025新款大学生,train
5,../../datas/origin_datas/audio_part/5.mp3,../../datas/origin_datas/images_part/5.jpg,../../datas/origin_datas/new_data_by_keys/5.json,因阻猫全能收包大容量背包男女出高中生双肩旅行包。,音速猫全能书包大容量背包男女初高中生双肩旅行包,train
6,../../datas/origin_datas/audio_part/6.mp3,../../datas/origin_datas/images_part/6.jpg,../../datas/origin_datas/new_data_by_keys/6.json,称片冠军双舰包女2025秋冬新款收包男户外背包校园清辨通警包,Champion冠军双肩包女2025秋冬新款书包男户外背包校园轻便通勤包,train
7,../../datas/origin_datas/audio_part/7.mp3,../../datas/origin_datas/images_part/7.jpg,../../datas/origin_datas/new_data_by_keys/7.json,卢玉晓同款Ido Travel 2 空气暴律由轻便双间包女电脑。,「卢昱晓同款」ITO TRUFFLE 2空气包旅游轻便双肩包女电脑,train
9,../../datas/origin_datas/audio_part/9.mp3,../../datas/origin_datas/images_part/9.jpg,../../datas/origin_datas/new_data_by_keys/9.json,Duky's双肩被大容量电脑旅行男士商务出差出中高中大学生输包心。,Dickies双肩背大容量电脑旅行男士商务出差初中高中大学生书包新,train
10,../../datas/origin_datas/audio_part/10.mp3,../../datas/origin_datas/images_part/10.jpg,../../datas/origin_datas/new_data_by_keys/10.json,Rogis-Y-Lujie-S-506 也赢登山包户外男女防水双肩包BN-017,ROGISI陆杰士 50L野营登山包 户外男女防水双肩包 BN-017,train
12,../../datas/origin_datas/audio_part/12.mp3,../../datas/origin_datas/images_part/12.jpg,../../datas/origin_datas/new_data_by_keys/12.json,《刘尔秋冬新款》《软皮大包》《复古脱脱包》《大容量通勤包丹间鞋跨包角子包男女》,ur秋冬新款软皮大包复古托特包大容量通勤包单肩斜挎包饺子包男女,train
15,../../datas/origin_datas/audio_part/15.mp3,../../datas/origin_datas/images_part/15.jpg,../../datas/origin_datas/new_data_by_keys/15.json,波斯单顿朝牌双肩背包男旅行大容量防水电脑数包女2025新款大学生。,波斯丹顿潮牌双肩背包男旅行大容量防水电脑书包女2025新款大学生,train
16,../../datas/origin_datas/audio_part/16.mp3,../../datas/origin_datas/images_part/16.jpg,../../datas/origin_datas/new_data_by_keys/16.json,是自由网朝牌软皮鞋跨包南小众设计通勤单间包大容量脱特包南包。,是自由啊 潮牌软皮斜挎包男小众设计通勤单肩包大容量托特包男包,train
17,../../datas/origin_datas/audio_part/17.mp3,../../datas/origin_datas/images_part/17.jpg,../../datas/origin_datas/new_data_by_keys/17.json,Jansport 初中学生输包女双监被包通勤户外旅行大容量南式电脑。,JanSport初中学生书包女双肩背包通勤户外旅行大容量男士电脑,train
18,../../datas/origin_datas/audio_part/18.mp3,../../datas/origin_datas/images_part/18.jpg,../../datas/origin_datas/new_data_by_keys/18.json,黑田史卫原创小众高级感批置通勤双肩包男士大学生女书包背包店子。,黑田矢卫原创小众高级感皮质通勤双肩包男士大学生女书包背包ins,train
20,../../datas/origin_datas/audio_part/20.mp3,../../datas/origin_datas/images_part/20.jpg,../../datas/origin_datas/new_data_by_keys/20.json,"One time, 藏藏双肩包2025超火精致包包大学生小众填苦绿油清扁。",onetime脏脏双肩包2025超火精致包包大学生小众甜酷旅游轻便,train
21,../../datas/origin_datas/audio_part/21.mp3,../../datas/origin_datas/images_part/21.jpg,../../datas/origin_datas/new_data_by_keys/21.json,今年流行的高级港黑色南胞大容量通勤脱特包剪约百大单件协跨包潮。,今年流行的高级感黑色男包大容量通勤托特包简约百搭单肩斜挎包潮,train
22,../../datas/origin_datas/audio_part/22.mp3,../../datas/origin_datas/images_part/22.jpg,../../datas/origin_datas/new_data_by_keys/22.json,Myron-beauty人部自指双肩包基础Logo黑灰色情侣书包休闲,MIRENBU迷人布 自制双肩包 基础logo黑灰色情侣书包 休闲,train
23,../../datas/origin_datas/audio_part/23.mp3,../../datas/origin_datas/images_part/23.jpg,../../datas/origin_datas/new_data_by_keys/23.json,GYXX光影行星周四次一双舰包南背包技能旅行大容量汽车齐行电脑收包,GYXX/光影行星宙斯Z双肩包男背包机能旅行大容量机车骑行电脑书包,train
24,../../datas/origin_datas/audio_part/24.mp3,../../datas/origin_datas/images_part/24.jpg,../../datas/origin_datas/new_data_by_keys/24.json,Race大容量旅行背包 书包女青扁电脑包屠部登山爬山双间包南。,Mrace大容量旅行背包书包女轻便电脑包徒步登山爬山双肩包男,train
26,../../datas/origin_datas/audio_part/26.mp3,../../datas/origin_datas/images_part/26.jpg,../../datas/origin_datas/new_data_by_keys/26.json,称片冠军双舰包女2025秋冬新款收包男户外背包校园清辨通警包,Champion冠军双肩包女2025秋冬新款书包男户外背包校园轻便通勤包,train
27,../../datas/origin_datas/audio_part/27.mp3,../../datas/origin_datas/images_part/27.jpg,../../datas/origin_datas/new_data_by_keys/27.json,Midish 审电脑背包男旅游户外街头大容量数包旅行出油登山双肩包,MYEDITION电脑背包男旅游户外街头大容量书包旅行出游登山双肩包,train
28,../../datas/origin_datas/audio_part/28.mp3,../../datas/origin_datas/images_part/28.jpg,../../datas/origin_datas/new_data_by_keys/28.json,GYXX光影行星周四次一双舰包南背包技能旅行大容量汽车齐行电脑收包,GYXX/光影行星宙斯Z双肩包男背包机能旅行大容量机车骑行电脑书包,train
29,../../datas/origin_datas/audio_part/29.mp3,../../datas/origin_datas/images_part/29.jpg,../../datas/origin_datas/new_data_by_keys/29.json,今年流行的高级港黑色南胞大容量通勤脱特包剪约百大单件协跨包潮。,今年流行的高级感黑色男包大容量通勤托特包简约百搭单肩斜挎包潮,train
30,../../datas/origin_datas/audio_part/30.mp3,../../datas/origin_datas/images_part/30.jpg,../../datas/origin_datas/new_data_by_keys/30.json,Wonderlust被包具水双尖包束Lulu Lemon ShoeLU9AS8S,Wunderlust 背包 拒水 双肩包 丨lululemon丨LU9AS8S,train
31,../../datas/origin_datas/audio_part/31.mp3,../../datas/origin_datas/images_part/31.jpg,../../datas/origin_datas/new_data_by_keys/31.json,波斯单顿朝牌双肩背包男旅行大容量防水电脑数包女2025新款大学生。,波斯丹顿潮牌双肩背包男旅行大容量防水电脑书包女2025新款大学生,train
32,../../datas/origin_datas/audio_part/32.mp3,../../datas/origin_datas/images_part/32.jpg,../../datas/origin_datas/new_data_by_keys/32.json,李双坚包男运动户外大容量旅行背包高中大学生书包通勤电脑包女。,Lee双肩包男运动户外大容量旅行背包高中大学生书包通勤电脑包女,train
33,../../datas/origin_datas/audio_part/33.mp3,../../datas/origin_datas/images_part/33.jpg,../../datas/origin_datas/new_data_by_keys/33.json,Jansport 初中学生输包女双监被包通勤户外旅行大容量南式电脑。,JanSport初中学生书包女双肩背包通勤户外旅行大容量男士电脑,train
36,../../datas/origin_datas/audio_part/36.mp3,../../datas/origin_datas/images_part/36.jpg,../../datas/origin_datas/new_data_by_keys/36.json,旅行背包男士大容量双肩包2025新款短途旅游轻便女士背包行李收包。,旅行背包男士大容量双肩包2025新款短途旅游轻便女士背包行李书包,train
